participant_id	original_participant_id	species	sex
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8000	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8000	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8001	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8001	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8002	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8002	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8003	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8003	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8005	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8005	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8006	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8006	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8007	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8007	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8008	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8008	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8009	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8009	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8010	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8010	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8011	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8011	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8012	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8012	Drosophila melanogaster	F
sub-oviDNSS1+++SS01048+driving+GCaMP7f+fly+ID+8013	sub-oviDNSS1_&_SS01048_driving_GCaMP7f_fly_ID#8013	Drosophila melanogaster	F
